127.0.0.1 - - [09/May/2025:15:53:00 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/May/2025:15:53:01 +0900] "GET /webStandard01/01/basic.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [09/May/2025:15:53:01 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/May/2025:15:59:30 +0900] "GET /webStandard01/01/basic.html HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [09/May/2025:16:00:33 +0900] "GET /webStandard01/01/basic.html HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [09/May/2025:16:01:49 +0900] "GET /webStandard01/01/basic.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [09/May/2025:16:09:49 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [09/May/2025:16:12:31 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:15:12 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2025:16:17:47 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [09/May/2025:16:18:21 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [09/May/2025:16:18:22 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:31:37 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [09/May/2025:16:32:03 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [09/May/2025:16:33:08 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [09/May/2025:16:33:08 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 200 48046
0:0:0:0:0:0:0:1 - - [09/May/2025:16:33:49 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [09/May/2025:16:34:30 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [09/May/2025:16:34:30 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [09/May/2025:16:34:37 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [09/May/2025:16:34:55 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [09/May/2025:16:34:55 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [09/May/2025:16:35:46 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [09/May/2025:16:35:46 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:35:46 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [09/May/2025:16:38:47 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [09/May/2025:16:39:38 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [09/May/2025:16:40:12 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [09/May/2025:16:40:26 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [09/May/2025:16:40:27 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:40:27 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:41:58 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [09/May/2025:16:43:24 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [09/May/2025:16:44:07 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/May/2025:16:44:53 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [09/May/2025:16:46:57 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [09/May/2025:16:47:46 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [09/May/2025:16:47:47 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:47:55 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [09/May/2025:16:48:00 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2025:16:48:01 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [09/May/2025:16:50:21 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [09/May/2025:16:50:41 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 644
